,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
10,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-01-23 23:26:00,2025-01-06 17:50:45,548,12.0,230,18,416,90.0,365.0,2193,2025-01-06 17:53:05,1.29.0,,303209.0,100.0,Asynchronous Python ODM for MongoDB.,3419.0,3419.0,104.0,https://pypi.org/project/beanie,303209.0,31,True,3,BeanieODM/beanie,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2025-02-11 02:36:35,2025-01-27 02:34:45,1415,16.0,91,17,915,67.0,200.0,1700,2024-12-06 10:47:54,0.20.2,,30436.0,80.0,python async orm with fastapi in mind and pydantic validation.,1065.0,1065.0,41.0,https://pypi.org/project/ormar,30436.0,30,True,2,,
12,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2025-01-14 19:39:32,2025-01-14 19:39:26,446,10.0,84,5,214,38.0,61.0,1046,2025-01-14 19:39:02,7.0.2,,3490905.0,13.0,Instrument your FastAPI with Prometheus metrics.,3627.0,3627.0,28.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3490905.0,30,True,1,,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2025-02-13 09:38:15,2025-02-13 09:38:12,2373,127.0,643,23,1931,470.0,810.0,773,2025-02-04 18:22:02,0.51b0,,10689915.0,48.0,OpenTelemetry instrumentation for Python modules.,2.0,2.0,330.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,10689915.0,30,True,1,,
14,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-11-04 08:50:50,2024-11-04 08:33:57,376,,200,16,439,51.0,202.0,2029,2024-10-28 13:15:26,0.20.1,,147242.0,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1358.0,1358.0,63.0,https://pypi.org/project/sqladmin,147242.0,29,True,1,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2025-02-12 23:54:43,2025-02-12 23:53:53,1861,9.0,90,17,526,124.0,312.0,1530,2025-02-12 23:54:43,1.23.0,,33513.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",449.0,449.0,46.0,https://pypi.org/project/piccolo,33513.0,28,True,3,,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-02-13 16:10:27,2025-02-13 16:10:24,3369,73.0,539,40,2614,391.0,659.0,4151,2025-02-13 16:10:58,0.260.2,663.0,796.0,100.0,A GraphQL library for Python that leverages type annotations.,,,271.0,https://pypi.org/project/strawberry,745.0,27,True,3,,
17,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2025-02-12 03:12:10,2024-06-27 18:02:44,258,,86,14,118,37.0,62.0,1347,,,,1140770.0,,A rate limiter for Starlette and FastAPI.,4124.0,4124.0,26.0,https://pypi.org/project/slowapi,1140770.0,27,True,1,,
18,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2025-02-11 11:05:56,2025-02-11 11:05:55,1292,61.0,50,16,645,7.0,52.0,865,2024-12-25 23:22:43,1.4.1,,18293.0,43.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,93.0,93.0,18.0,https://pypi.org/project/authx,18293.0,26,True,2,,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2024-09-05 09:32:46,2024-09-05 09:32:46,395,,390,40,49,51.0,72.0,3056,2021-08-31 03:28:51,1.0.3,,10948.0,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",433.0,433.0,16.0,https://pypi.org/project/fastapi-admin,10948.0,25,True,3,,
20,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2025-01-01 15:11:44,2025-01-01 15:10:36,481,5.0,59,11,93,1.0,58.0,657,2024-12-14 08:17:42,1.10.3,8.0,49854.0,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1042.0,1042.0,14.0,https://pypi.org/project/fastapi-login,49854.0,25,True,2,,
21,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,148,47,472,45.0,263.0,2692,,,,26828.0,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2472.0,2472.0,45.0,https://pypi.org/project/gino,26828.0,24,True,3,,
22,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560,1.0,89,19,311,83.0,90.0,1099,2024-04-26 23:28:12,1.0.2,,46212.0,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3450.0,3450.0,19.0,https://pypi.org/project/odmantic,46212.0,24,True,3,,
23,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2025-02-07 14:13:24,2025-02-07 14:11:48,345,6.0,71,13,120,3.0,105.0,506,2024-08-20 09:26:23,5.0.1,,124805.0,31.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",109.0,109.0,30.0,https://pypi.org/project/fastapi-azure-auth,124805.0,24,True,2,,
24,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2025-02-12 12:40:09,2024-11-26 09:20:02,930,1.0,83,16,563,205.0,204.0,1958,2024-08-16 02:54:35,0.15.0,,240570.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,240570.0,22,True,3,,
25,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125,,97,42,78,17.0,64.0,1788,2021-11-29 09:20:38,0.3.1,,6927.0,8.0,An async ORM.,541.0,541.0,18.0,https://pypi.org/project/orm,6927.0,22,True,3,,
26,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66,,53,10,23,28.0,15.0,535,2024-01-05 09:14:08,0.1.6,,125862.0,7.0,A request rate limiter for fastapi.,2065.0,2065.0,12.0,https://pypi.org/project/fastapi-limiter,125862.0,22,True,3,,
27,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/igorbenav/fastcrud,https://github.com/igorbenav/fastcrud,MIT,2024-01-08 04:04:17,2025-02-04 01:54:11,2025-02-04 01:54:11,510,33.0,67,9,107,20.0,61.0,948,2024-12-26 02:23:09,0.15.5,,,26.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",148.0,148.0,15.0,,,20,True,1,,
28,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149,,36,22,491,12.0,131.0,857,2021-11-15 11:05:03,1.4.1,,8086.0,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,8086.0,20,True,3,,-1.0
29,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2025-01-16 23:23:00,2025-01-16 23:22:08,729,4.0,38,7,235,41.0,129.0,335,2025-01-16 23:23:00,1.9.1,,8518.0,60.0,A powerful web admin for your database.,,,19.0,https://pypi.org/project/piccolo-admin,8518.0,20,True,3,,
30,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61,,36,5,40,31.0,18.0,341,2022-01-06 12:47:03,0.4.3,,33817.0,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",94.0,94.0,6.0,https://pypi.org/project/fastapi-cloudauth,33817.0,19,True,3,,
31,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,MIT,2020-07-23 09:40:19,2024-04-12 06:58:02,2020-11-11 05:05:27,123,,130,8,26,47.0,36.0,681,2020-11-06 11:15:11,0.5.0,,80526.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,3.0,https://pypi.org/project/fastapi-jwt-auth,80526.0,18,True,3,,
32,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96,,38,12,27,10.0,13.0,630,2020-09-25 16:25:49,0.2.1,,70992.0,5.0,Adds simple SQLAlchemy support to FastAPI.,3.0,3.0,7.0,https://pypi.org/project/fastapi-sqlalchemy,70992.0,18,True,3,,
33,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,MIT,2020-02-07 14:58:15,2023-08-02 13:24:12,2022-05-15 23:48:21,59,,7,2,6,1.0,3.0,147,2022-03-11 11:15:48,0.5.0,75.0,26683.0,5.0,Implements authentication and authorization as FastAPI dependencies.,91.0,91.0,3.0,https://pypi.org/project/fastapi-security,26682.0,16,True,3,,
34,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,MIT,2020-08-27 07:16:16,2023-12-19 20:22:23,2023-07-18 14:06:25,88,,32,1,18,1.0,10.0,345,2023-07-18 14:06:40,1.3.0,,1171.0,3.0,Drop-in API-key based security for FastAPI.,,,7.0,https://pypi.org/project/fastapi-simple-security,1171.0,14,True,3,,
35,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,MIT,2020-10-26 16:11:14,2024-11-10 18:00:03,2024-11-10 17:59:59,70,,27,9,13,2.0,13.0,141,,,,1335.0,,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,8.0,https://pypi.org/project/fastapi-chameleon,1335.0,12,True,1,,1.0
36,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30,,7,3,24,5.0,1.0,24,,,,275.0,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,275.0,9,True,3,,
37,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1,,9,4,4,1.0,1.0,152,,,,439.0,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,439.0,8,False,3,,
38,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,MIT,2020-10-26 21:44:13,2024-11-16 02:53:24,2024-11-16 02:53:22,22,1.0,11,2,6,,,71,,,,235.0,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,235.0,8,True,3,,
