,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
25,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125.0,,96.0,41.0,78.0,17.0,64.0,1793.0,2021-11-29 09:20:38,0.3.1,8.0,An async ORM.,556.0,556.0,18.0,https://pypi.org/project/orm,19,True,3.0,,,
26,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,,Apache-2.0,2020-12-16 04:29:28,2025-04-10 08:07:05,2025-03-23 17:43:00,931.0,,81.0,16.0,563.0,213.0,205.0,2009.0,2024-08-16 02:54:35,0.15.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,17,True,3.0,,,
27,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149.0,,36.0,21.0,491.0,12.0,131.0,858.0,2021-11-15 11:05:03,1.4.1,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,17,True,3.0,,,
28,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/maxrdu/fastapi_login,https://github.com/maxrdu/fastapi_login,maxrdu/fastapi_login,MIT,2019-10-21 14:47:00,2025-05-20 07:04:51,2025-05-20 07:04:51,482.0,1.0,65.0,10.0,94.0,1.0,58.0,702.0,2024-12-14 08:17:42,1.10.3,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1123.0,1123.0,15.0,https://pypi.org/project/fastapi-login,17,True,2.0,,11.0,0.0
29,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,,MIT,2019-06-25 19:24:31,2025-07-29 08:25:27,2025-07-29 08:22:16,742.0,8.0,42.0,6.0,246.0,33.0,141.0,369.0,2025-07-29 08:25:27,1.12.0,63.0,A powerful web admin for your database.,,,22.0,https://pypi.org/project/piccolo-admin,17,True,3.0,,,
30,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,,MIT,2020-07-23 09:40:19,2024-04-12 06:58:02,2020-11-11 05:05:27,123.0,,135.0,8.0,26.0,47.0,36.0,722.0,2020-11-06 11:15:11,0.5.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,4.0,https://pypi.org/project/fastapi-jwt-auth,13,True,3.0,,,
31,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96.0,,43.0,11.0,27.0,10.0,13.0,664.0,2020-09-25 16:25:49,0.2.1,5.0,Adds simple SQLAlchemy support to FastAPI.,3.0,3.0,10.0,https://pypi.org/project/fastapi-sqlalchemy,13,True,3.0,,,
32,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66.0,,63.0,9.0,26.0,32.0,15.0,602.0,2024-01-05 09:14:08,0.1.6,7.0,A request rate limiter for fastapi.,,,12.0,https://pypi.org/project/fastapi-limiter,12,True,3.0,,,
33,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61.0,,37.0,5.0,40.0,30.0,19.0,349.0,2022-01-06 12:47:03,0.4.3,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",,,6.0,https://pypi.org/project/fastapi-cloudauth,12,True,3.0,,,
34,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,,MIT,2020-02-07 14:58:15,2023-08-02 13:24:12,2022-05-15 23:48:21,59.0,,8.0,2.0,6.0,1.0,3.0,153.0,2022-03-11 11:15:48,0.5.0,5.0,Implements authentication and authorization as FastAPI dependencies.,126.0,126.0,3.0,https://pypi.org/project/fastapi-security,12,True,3.0,,77.0,1.0
35,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,,MIT,2020-08-27 07:16:16,2023-12-19 20:22:23,2023-07-18 14:06:25,88.0,,32.0,1.0,18.0,1.0,10.0,374.0,2023-07-18 14:06:40,1.3.0,3.0,Drop-in API-key based security for FastAPI.,,,7.0,https://pypi.org/project/fastapi-simple-security,11,True,3.0,,,
36,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,,MIT,2020-10-26 16:11:14,2025-04-04 14:05:18,2025-04-04 01:02:24,72.0,,27.0,9.0,13.0,1.0,14.0,141.0,2025-04-04 14:05:18,0.1.17,1.0,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,8.0,https://pypi.org/project/fastapi-chameleon,11,True,1.0,,,
37,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,,MIT,2020-10-26 21:44:13,2024-11-16 02:53:24,2024-11-16 02:53:22,22.0,,11.0,1.0,6.0,,,71.0,,,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,7,True,3.0,,,
38,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1.0,,10.0,3.0,4.0,1.0,1.0,166.0,,,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,6,False,3.0,,,
39,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30.0,,7.0,2.0,24.0,5.0,1.0,24.0,,,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,6,True,3.0,,,
40,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/sqlalchemy,0,False,,,,
