,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
22,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2024-04-10 22:42:24,2024-02-05 12:09:50,242,6.0,67,16,98,30.0,56.0,975,,,,271197.0,,A rate limiter for Starlette and FastAPI.,2033.0,2033.0,24.0,https://pypi.org/project/slowapi,271197.0,24,True,1,
23,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2024-03-06 12:06:25,2024-02-27 05:01:52,469,8.0,55,9,77,1.0,54.0,581,2024-03-06 11:31:36,1.10.0,5.0,25528.0,22.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,838.0,838.0,14.0,https://pypi.org/project/fastapi-login,25528.0,24,True,2,
24,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66,,43,9,21,21.0,14.0,407,2024-01-05 09:14:08,0.1.6,,45487.0,7.0,A request rate limiter for fastapi.,1149.0,1149.0,12.0,https://pypi.org/project/fastapi-limiter,45487.0,23,True,3,
25,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125,,97,42,78,16.0,64.0,1760,2021-11-29 09:20:38,0.3.1,,7644.0,8.0,An async ORM.,510.0,510.0,18.0,https://pypi.org/project/orm,7644.0,22,True,3,
26,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2024-04-07 20:51:22,2024-04-07 20:51:21,901,177.0,42,14,509,2.0,33.0,681,2024-04-04 05:25:57,1.1.0,,886.0,34.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,15.0,15.0,13.0,https://pypi.org/project/authx,886.0,22,True,2,-1.0
27,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149,,37,22,491,12.0,131.0,853,2021-11-15 11:05:03,1.4.1,,2546.0,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,2546.0,20,True,3,
28,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2024-03-30 13:37:10,2024-03-30 13:37:07,695,20.0,33,7,212,34.0,113.0,278,2024-03-30 13:36:49,1.3.2,,4227.0,49.0,A powerful web admin for your database.,,,18.0,https://pypi.org/project/piccolo-admin,4227.0,20,True,3,
29,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,MIT,2020-07-23 09:40:19,2024-03-19 11:58:20,2020-11-11 05:05:27,123,,110,8,23,47.0,36.0,609,2020-11-06 11:15:11,0.5.0,,63847.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,3.0,https://pypi.org/project/fastapi-jwt-auth,63847.0,19,True,3,
30,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/igorbenav/fastcrud,https://github.com/igorbenav/fastcrud,MIT,2024-01-08 04:04:17,2024-04-11 07:39:20,2024-04-07 02:54:58,209,194.0,24,5,33,5.0,12.0,388,2024-04-07 03:00:28,0.11.0,,,14.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",29.0,29.0,4.0,,,19,True,1,
31,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61,,34,5,39,30.0,18.0,316,2022-01-06 12:47:03,0.4.3,,39157.0,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",84.0,84.0,6.0,https://pypi.org/project/fastapi-cloudauth,39157.0,19,True,3,
32,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96,9.0,34,11,27,9.0,13.0,575,2020-09-25 16:25:49,0.2.1,,95090.0,5.0,Adds simple SQLAlchemy support to FastAPI.,,,7.0,https://pypi.org/project/fastapi-sqlalchemy,95090.0,18,True,3,-4.0
33,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,MIT,2020-02-07 14:58:15,2023-08-02 13:24:12,2022-05-15 23:48:21,59,,7,2,6,1.0,3.0,127,2022-03-11 11:15:48,0.5.0,31.0,9360.0,5.0,Implements authentication and authorization as FastAPI dependencies.,57.0,57.0,3.0,https://pypi.org/project/fastapi-security,9360.0,16,True,3,
34,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,MIT,2020-08-27 07:16:16,2023-12-19 20:22:23,2023-07-18 14:06:25,88,,31,1,18,1.0,9.0,295,2023-07-18 14:06:40,1.3.0,,1688.0,3.0,Drop-in API-key based security for FastAPI.,,,7.0,https://pypi.org/project/fastapi-simple-security,1688.0,14,True,3,
35,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,MIT,2020-10-26 16:11:14,2024-01-21 21:42:44,2024-01-21 21:42:44,57,1.0,26,9,12,1.0,12.0,136,,,,561.0,,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,7.0,https://pypi.org/project/fastapi-chameleon,561.0,10,True,1,
36,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,MIT,2020-10-26 21:44:13,2024-01-21 21:42:46,2021-03-29 20:16:20,21,,11,2,6,,,64,,,,173.0,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,173.0,9,True,3,
37,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30,,8,3,24,5.0,1.0,22,,,,44.0,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,44.0,8,True,3,
38,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1,,8,5,4,1.0,1.0,131,,,,102.0,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,102.0,6,True,3,
